educ,exper,tenure,nonwhite,female,married
16,8,0,0,1,1
12,36,0,0,1,0
2,39,13,0,0,1
10,36,8,0,0,0
12,5,0,0,1,0
10,23,2,0,1,0
16,4,3,0,0,1
12,26,4,0,1,0
16,11,4,0,0,0
16,10,3,0,0,1
14,9,3,0,0,0
16,9,0,0,0,0
12,31,15,0,0,1
16,3,0,0,0,1
12,3,0,0,1,1
14,8,4,0,1,1
11,11,8,0,0,1
17,21,18,0,0,1
12,38,3,0,1,1
11,3,0,0,0,0
14,37,7,0,1,1
14,40,30,0,0,1
11,1,0,0,1,0
14,11,3,0,1,1
18,3,1,0,1,0
12,26,2,0,0,1
14,3,2,0,1,0
13,21,13,0,0,1
9,14,7,0,0,1
6,47,13,1,0,1
14,12,11,0,0,1
10,14,11,0,0,1
12,5,2,0,1,1
14,3,0,0,0,1
12,22,8,0,0,0
16,1,2,1,0,0
10,1,0,0,1,0
11,45,12,0,1,1
18,1,2,0,0,0
12,27,2,0,0,1
12,7,6,1,1,1
12,16,0,0,1,1
18,13,0,0,1,0
15,11,3,0,1,1
12,7,7,0,0,1
16,42,10,0,0,0
12,22,2,0,1,1
12,18,5,0,0,1
13,7,0,1,0,1
12,15,1,0,1,1
13,8,2,0,0,0
9,22,5,0,0,1
12,19,6,0,1,1
12,3,0,0,1,0
18,16,2,1,0,1
12,11,1,0,1,1
10,2,0,0,1,0
12,14,5,0,0,1
8,44,25,0,0,1
14,40,39,0,0,1
12,13,0,0,0,1
11,2,1,0,0,0
12,15,5,0,0,1
12,22,3,0,0,1
12,47,44,0,0,1
12,15,5,0,1,1
12,18,3,0,0,0
12,3,1,0,0,0
8,40,24,1,0,1
12,45,8,0,1,1
16,2,2,0,0,0
12,48,2,0,1,1
12,12,3,0,1,1
12,2,0,0,0,0
12,12,0,0,0,1
11,35,31,0,0,1
12,20,14,0,0,1
10,34,12,0,0,1
14,17,0,0,1,1
12,2,0,0,0,0
14,5,4,0,1,1
12,18,0,0,1,0
12,13,0,0,0,1
12,43,5,0,1,0
12,21,0,0,1,1
12,11,0,0,0,1
15,13,18,0,0,1
12,26,20,0,1,1
12,25,8,0,0,1
16,23,22,0,0,1
13,25,21,0,0,1
18,8,8,0,1,0
12,37,14,0,1,1
14,9,2,0,0,0
11,13,11,0,0,1
12,2,0,0,0,0
13,23,2,1,1,0
12,29,13,0,0,1
12,10,0,0,0,1
14,11,0,0,0,1
10,1,0,0,0,0
18,1,0,0,0,0
17,10,9,1,0,1
16,9,2,0,0,1
12,4,4,0,0,1
12,3,2,0,1,0
14,10,3,1,0,1
16,34,2,0,0,1
12,5,2,0,0,1
13,3,1,0,0,0
7,26,1,0,1,0
13,34,15,1,1,1
18,3,3,0,0,1
12,11,0,0,0,0
13,6,7,0,1,1
12,3,0,0,0,0
12,35,0,0,1,1
12,14,4,0,1,0
13,6,0,0,1,0
8,33,0,0,0,1
14,29,24,0,0,1
15,3,1,0,1,1
14,4,0,0,1,1
12,11,4,0,1,0
17,17,2,1,0,1
12,14,11,0,0,1
10,8,0,0,1,0
14,23,0,0,1,1
12,35,12,0,1,1
